Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,AI_Impact_Score,Tasks_Automated_Pct
Software Engineer,Media & Entertainment,Medium,Seattle,Medium,Low,"NLP, Leadership, Agile, Cloud Computing, Machine Learning",84373,No,Growth,36,34
Machine Learning Engineer,Retail,Medium,Chicago,Low,High,"NLP, Cloud Computing",54400,No,Decline,75,67
Customer Service Rep,Retail,Small,Boston,Medium,High,"SQL, Cybersecurity",55123,Yes,Decline,78,66
Financial Analyst,Manufacturing,Medium,Chicago,Medium,High,"Agile, DevOps, Java",45945,Yes,Stable,88,84
Content Writer,Finance,Small,Denver,Medium,High,"Python, Cloud Computing, Machine Learning, Communication, NLP",56163,No,Stable,76,72
UX Designer,Education,Medium,Boston,Medium,Low,"Agile, UX Research, Communication, Python, SQL",94451,Yes,Stable,31,22
Product Manager,Media & Entertainment,Medium,Seattle,High,Low,"DevOps, Cloud Computing, Financial Modeling",100643,Yes,Growth,29,27
Product Manager,Retail,Medium,Seattle,Medium,Medium,"Deep Learning, NLP, Excel",59751,Yes,Decline,51,56
Graphic Designer,Media & Entertainment,Large,Denver,Medium,Low,"Financial Modeling, Tableau, Project Management",95931,No,Stable,10,5
Financial Analyst,Retail,Medium,Denver,Medium,Medium,"Data Analysis, Excel, Cloud Computing, Python, NLP",77127,Yes,Stable,43,32
Graphic Designer,Government,Medium,Seattle,Medium,Low,"SQL, Project Management, NLP",82350,No,Growth,29,16
Accountant,Education,Small,Seattle,Medium,Medium,"Leadership, Deep Learning",72654,Yes,Growth,44,25
DevOps Engineer,Transportation,Small,Chicago,High,High,"Marketing Strategy, Communication, Python, Machine Learning",76792,No,Decline,88,75
Content Writer,Healthcare,Small,Remote,Medium,Low,"Power BI, NLP, Java",92142,Yes,Decline,40,36
HR Manager,Energy,Medium,Seattle,High,Medium,"Excel, Communication, Python",98275,Yes,Growth,71,79
HR Manager,Energy,Small,San Francisco,Medium,High,"Leadership, Deep Learning, Cybersecurity",76864,Yes,Stable,83,89
Graphic Designer,Finance,Medium,Remote,Medium,Medium,"DevOps, Python",65374,Yes,Growth,55,46
